"小说","中国近现代小说","https:item['book_img']","沈从文：边城"," 沈从文 ","北京十月文艺出版社","2008-07","29.6"
"小说","科幻小说","https:item['book_img']","八十天环游地球"," 儒勒·凡尔纳 ","江苏凤凰文艺出版社","2019-01","39"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","守望先锋：第一卷"," 美国暴雪娱乐 ","新星出版社","2019-03","65.4"
"小说","都市","https:item['book_img']","贾平凹长篇小说典藏大系：高兴"," 贾平凹 ","安徽文艺出版社","2010-09","27"
"小说","乡土","https:item['book_img']","贾平凹长篇小说典藏大系：秦腔"," 贾平凹 ","安徽文艺出版社","2010-09","31.5"
"小说","乡土","https:item['book_img']","贾平凹长篇小说典藏大系：妊娠"," 贾平凹 ","安徽文艺出版社","2010-09","16.5"
"小说","乡土","https:item['book_img']","贾平凹长篇小说典藏大系：土门"," 贾平凹 ","安徽文艺出版社","2010-09","18.7"
"小说","港澳台小说","https:item['book_img']","四大名捕会京师（套装全2卷）"," 温瑞安 ","作家出版社","2012-11","59"
"小说","军事","https:item['book_img']","刘猛作品集:我是特种兵之火凤凰"," 刘猛 ","北京联合出版公司","2015-01","34.8"
"小说","都市","https:item['book_img']","穿PRADA的女魔头（纪念版）"," 劳伦·魏丝伯格 ","中信出版集团","2015-10","27.5"
"小说","都市","https:item['book_img']","不喧哗 自有声"," 这么远那么近 ","北京联合出版公司","2016-04","30.9"
"小说","外国小说","https:item['book_img']","东野圭吾：白夜行（2017版）"," 东野圭吾 ","南海出版公司","2017-07","44.7"
"小说","中国当代小说","https:item['book_img']","余华作品：世事如烟 （新版）"," 余华 ","作家出版社","2017-10","25"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","黑暗的左手"," 厄休拉·勒古恩 ","北京联合出版公司","2017-12","45"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","迷宫森林"," 梅利莎·阿尔伯特 ","百花洲文艺出版社","2018-05","21"
"小说","科幻小说","https:item['book_img']","天堂的喷泉(精装)"," 阿瑟·克拉克 ","四川科学技术出版社","2018-10","32.2"
"小说","科幻小说","https:item['book_img']","城市与群星(精装)"," 阿瑟·克拉克 ","四川科学技术出版社","2018-10","26.8"
"小说","惊悚/恐怖","https:item['book_img']","阴阳师典藏合集（套装全5册）"," 梦枕貘 ","南海出版公司","2014-01","111.8"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：解忧杂货店"," 东野圭吾 ","南海出版公司","2014-08","27.9"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：祈祷落幕时"," 东野圭吾 ","南海出版公司","2015-01","29.6"
"小说","中国近现代小说","https:item['book_img']","文学名著·经典译林：边城"," 沈从文 ","译林出版社","2015-10","17.6"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：圣女的救济"," 东野圭吾 ","南海出版公司","2017-01","33.8"
"小说","都市","https:item['book_img']","押沙龙，押沙龙！"," 威廉.福克纳 ","中国出版集团,现代出版社","2017-06","27.4"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：盛夏方程式"," 东野圭吾 ","南海出版公司","2018-11","44.3"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：超杀人事件"," 东野圭吾 ","南海出版公司","2019-07","37.1"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：侦探伽利略"," 东野圭吾 ","南海出版公司","2019-04","37.1"
"小说","四大名著","https:item['book_img']","水浒传（上下册）"," 施耐庵 ","人民文学出版社","1997-01","31.6"
"小说","乡土","https:item['book_img']","贾平凹长篇小说典藏大系：高老庄"," 贾平凹 ","安徽文艺出版社","2010-09","21.7"
"小说","中国近现代小说","https:item['book_img']","文学名著：四世同堂"," 老舍 ","北京十月文艺出版社","2012-07","28.1"
"小说","港澳台小说","https:item['book_img']","四大名捕外传方邪真故事：破阵"," 温瑞安 ","作家出版社","2012-12","30"
"小说","穿越/重生/架空","https:item['book_img']","大唐明月（套装全6册）"," 蓝云舒 ","上海文艺出版社","2013-01","160.8"
"小说","惊悚/恐怖","https:item['book_img']","驱魔人(精装）"," 威廉·彼得·布拉蒂 ","北京时代华文书局","2015-08","58"
"小说","穿越/重生/架空","https:item['book_img']","法老的宠妃（2）：荷鲁斯之眼"," 悠世 ","长江出版社","2015-06","14.4"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾:红手指(2016版)"," 东野圭吾 ","南海出版公司","2016-02","29.6"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾:新参者(2016版)"," 东野圭吾 ","南海出版公司","2016-02","29.6"
"小说","中国近现代小说","https:item['book_img']","四世同堂（套装上下册）"," 老舍 ","人民文学出版社","2016-01","42.3"
"小说","乡土","https:item['book_img']","阿来山珍三部·精装版（套装共3册）"," 阿来 ","人民文学出版社","2016-08","96"
"小说","军事","https:item['book_img']","最强特种兵套装（套装全四册）"," 丛林狼 ","北京联合出版公司","2016-12","109.5"
"小说","中国近现代小说","https:item['book_img']","四世同堂（足本珍藏版）"," 老舍 ","天津人民出版社","2017-07","67.6"
"小说","惊悚/恐怖","https:item['book_img']","闪灵/斯蒂芬·金作品系列"," 斯蒂芬·金 ","人民文学出版社","2017-09","55"
"小说","中国当代小说","https:item['book_img']","余华作品：我胆小如鼠（新版）"," 余华 ","作家出版社","2017-10","25"
"小说","四大名著","https:item['book_img']","三国演义（插图典藏版）（上下）"," 罗贯中 ","作家出版社","2018-02","31.7"
"小说","都市","https:item['book_img']","在不经意的年纪，遇见更好的自己"," 安雨 ","中国友谊出版公司","2018-09","31.8"
"小说","都市","https:item['book_img']","深深爱意，敬请查收（套装上下册）"," 洛丽 ","中国华侨出版社","2018-10","55.8"
"小说","军事","https:item['book_img']","刀尖1 阳面+刀尖2 阴面（套装共2册）"," 麦家 ","人民文学出版社","2018-10","118"
"小说","军事","https:item['book_img']","茅盾文学奖获奖作品全集：将军吟"," 莫应丰 ","人民文学出版社","2019-01","37.9"
"小说","外国小说","https:item['book_img']","摆渡人3无境之爱"," 克莱儿·麦克福尔 ","百花洲文艺出版社","2019-04","46"
"小说","惊悚/恐怖","https:item['book_img']","阴阳师·醍醐卷（梦枕貘新作）"," 梦枕貘 ","南海出版公司","2019-06","36.8"
"小说","社会","https:item['book_img']","人鼠之间"," 果麦文化 出品；约翰·斯坦贝克 ","江西人民出版社","2019-04","32"
"小说","惊悚/恐怖","https:item['book_img']","阴阳师·天鼓卷（梦枕貘新作）"," 梦枕貘 ","南海出版公司","2019-06","36.8"
"小说","惊悚/恐怖","https:item['book_img']","阴阳师·萤火卷（梦枕貘新作）"," 梦枕貘 ","南海出版公司","2019-06","36.8"
"小说","军事","https:item['book_img']","刘猛作品集:我是特种兵：利刃出鞘"," 刘猛 ","北京联合出版公司","2015-07","34.8"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾:时生（2015版）"," 东野圭吾 ","南海出版公司","2015-07","29.6"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","魔兽世界：黑暗之潮"," 艾伦˙罗森伯格 ","新星出版社","2019-03","35.4"
"小说","港澳台小说","https:item['book_img']","大唐李白（二）·凤凰台"," 张大春 ","广西师范大学出版社","2014-07","27.5"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：名侦探的守则"," 东野圭吾 ","南海出版公司","2017-01","29.6"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","悟空传（典藏纪念版）"," 今何在 ","北京联合出版公司","2017-05","26.7"
"小说","武侠","https:item['book_img']","古龙经典·绝代双骄（共四册）（热血版）"," 古龙 ","文汇出版社","2017-09","246"
"小说","武侠","https:item['book_img']","古龙经典·七种武器（共四册）（热血版）"," 古龙 ","文汇出版社","2017-09","232"
"小说","武侠","https:item['book_img']","金庸 射雕英雄传 六十周年京东纪念版套装"," 金庸 ","广州出版社","2017-12","234.7"
"小说","穿越/重生/架空","https:item['book_img']","异世流放.5 发展九原部落"," 易人北 ","世界知识出版社","2017-09","22.6"
"小说","惊悚/恐怖","https:item['book_img']","斯蒂芬·金系列：宠物公墓"," 斯蒂芬·金 ","上海文艺出版社","2017-12","45"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：幻夜（精装）"," 东野圭吾 ","南海出版公司","2018-05","44.7"
"小说","魔幻/奇幻/玄幻","https:item['book_img']","持剑者心伤（京东签名版）"," 朱炫 ","湖南文艺出版社","2018-07","42.1"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：学生街的日子"," 东野圭吾 ","南海出版公司","2018-10","37.1"
"小说","社会","https:item['book_img']","名著名译精装：好兵帅克历险记"," 雅·哈谢克 ","人民文学出版社","2018-08","45"
"小说","社会","https:item['book_img']","窄门"," 果麦文化 出品；[法] ","天津人民出版社","2018-11","31"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：名侦探的咒缚"," 东野圭吾 ","南海出版公司","2018-11","33.8"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：只差一个谎言"," 东野圭吾 ","南海出版公司","2019-06","37.1"
"小说","港澳台小说","https:item['book_img']","金庸作品集：碧血剑（套装上下册）"," 金庸 ","广州出版社","2009-09","67.5"
"小说","乡土","https:item['book_img']","博集典藏馆：呼兰河传（插图珍藏本）"," 萧红 ","湖南文艺出版社","2011-05","15.2"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：嫌疑人X的献身"," 东野圭吾 ","南海出版公司","2014-06","26.2"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：宿命（2014版）"," 东野圭吾 ","南海出版公司","2014-07","24"
"小说","四大名著","https:item['book_img']","红楼梦注释（足本原著无障碍阅读）"," 曹雪芹 ","西苑出版社","2016-04","44.3"
"小说","四大名著","https:item['book_img']","西游记注释（足本原著无障碍阅读）"," 吴承恩 ","西苑出版社","2016-04","33.8"
"小说","侦探/悬疑/推理","https:item['book_img']","东野圭吾：变身（2016版）"," 东野圭吾 ","南海出版公司","2016-08","26.3"
"小说","四大名著","https:item['book_img']","水浒传注释（足本原著无障碍阅读）"," 施耐庵 ","西苑出版社","2016-04","36.8"
"小说","中国近现代小说","https:item['book_img']","风声鹤唳（纪念典藏版）"," 林语堂 ","湖南文艺出版社","2016-08","20.2"
"小说","中国当代小说","https:item['book_img']","余华作品：在细雨中呼喊（新版）"," 余华 ","作家出版社","2017-09","33"
"小说","中国当代小说","https:item['book_img']","余华作品：许三观卖血记（新版）"," 余华 ","作家出版社","2017-09","32"
"小说","中国当代小说","https:item['book_img']","余华作品：黄昏里的男孩（新版）"," 余华 ","作家出版社","2017-11","26"
"小说","乡土","https:item['book_img']","边城（现当代长篇小说典藏插图本）"," 沈从文 ","长江文艺出版社","2017-10","18.8"
"小说","外国小说","https:item['book_img']","莫泊桑短篇小说集"," ［法］莫泊桑 ","黑龙江科学技术出版社","2018-03","29.3"
"小说","中国近现代小说","https:item['book_img']","边城 虎雏 沈从文无删节"," 沈从文  ","民主与建设","2014-12","24.8"
"小说","职场","https://img13.360buyimg.com/n7/jfs/t22303/68/515175717/82580/cb253758/5b100582N1a51f0fe.jpg","对手全5册12345套装 官术作者姜远方著 一部极具政治智慧的长篇小说政商官场小说运途问"," 姜远方 ","二十一世纪出版社集团","2017-02","200"
